match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,9.1,Australia,England,DA Warner,M Labuschagne,MA Wood,3,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,9.2,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,9.3,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,9.4,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,9.5,Australia,England,M Labuschagne,DA Warner,MA Wood,1,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,9.6,Australia,England,DA Warner,M Labuschagne,MA Wood,3,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,10.1,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,10.2,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,10.3,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,10.4,Australia,England,DA Warner,M Labuschagne,CR Woakes,4,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,10.5,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,10.6,Australia,England,DA Warner,M Labuschagne,CR Woakes,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,11.1,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,11.2,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,11.3,Australia,England,M Labuschagne,DA Warner,MA Wood,0,4,,,4,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,11.4,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,11.5,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
1336046,2023,2023-07-19,"Old Trafford, Manchester",1,11.6,Australia,England,M Labuschagne,DA Warner,MA Wood,0,0,,,,,,,,,
